영화 제목,평점,이미지 주소,감독,출연자,개봉일자
브레이브 언더 파이어,8.32,https://movie-phinf.pstatic.net/20210309_295/1615268177620WO9Op_JPEG/movie_image.jpg?type=m99_141_2,알렉세이 누즈니,"['콘스탄틴 카벤스키', '이반 얀콥스키']",2021.03.17 개봉
사막의 라이온,8.53,https://movie-phinf.pstatic.net/20111222_144/1324498432034dBAmo_JPEG/movie_image.jpg?type=m99_141_2,무스타파 아카드,"['안소니 퀸', '올리버 리드']",1981.12.17 개봉
살인광 시대,8.68,https://movie-phinf.pstatic.net/20111221_277/1324462468053JfkSq_JPEG/movie_image.jpg?type=m99_141_2,찰리 채플린,['찰리 채플린'],2015.10.13 개봉
스잔나,8.78,https://movie-phinf.pstatic.net/20150420_196/1429513051082Qa6Vp_JPEG/movie_image.jpg?type=m99_141_2,하몽화,['리칭'],1981.07.17 개봉
시티 라이트,9.44,https://movie-phinf.pstatic.net/20150330_34/1427704499540uW3L4_JPEG/movie_image.jpg?type=m99_141_2,찰리 채플린,"['찰리 채플린', '버지니아 쉐릴', '플로렌스 리', '해리 마이어스', '알랜 가르시아', '행크 만']",2015.03.26 개봉
식물도감,8.51,https://movie-phinf.pstatic.net/20180601_210/1527819835110o58FK_JPEG/movie_image.jpg?type=m99_141_2,미키 코이치로,"['이와타 타카노리', '타카하타 미츠키']",2018.06.21 개봉
썩시드,8,https://movie-phinf.pstatic.net/20200117_116/1579248763145S6Hfb_JPEG/movie_image.jpg?type=m99_141_2,차야놉 분프라콥 ,"['지라유 라-옹마니', '파차라 치라치뱃', '나타샤 나울잠', '타왓 포른라타나프라세르트']",2020.01.09 개봉
안녕하세요,8.93,https://movie-phinf.pstatic.net/20111222_172/1324530884035Ih8ci_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,"['사다 케이지', '쿠가 요시코', '류 치슈']",2004.05.28 개봉
에덴: 로스트 인 뮤직,7.78,https://movie-phinf.pstatic.net/20151007_83/1444183701565IFuVD_JPEG/movie_image.jpg?type=m99_141_2,미아 한센-러브,"['펠릭스 드 지브리', '폴린 에티엔', '그레타 거윅', '브래디 코베', '골쉬프테 파라하니']",2015.10.29 개봉
에로스,6.74,https://movie-phinf.pstatic.net/20111222_184/1324546022107iHdDp_JPEG/movie_image.jpg?type=m99_141_2,왕가위,"['공리', '장첸']",2005.06.30 개봉
